Code	NCIt Preferred Name	Synonyms
C100089	Interferon Gamma-1b	"Actimmune|IFN-g-1b|IFN-gamma 1b|IFNg-1b|INTERFERON GAMMA-1B|Interferon Gamma-1b|Interferon Gamma-1b|Interferon gamma-1b, Recombinant|N(Sup 2)-L-Methionyl-1-139-Interferon G|N(sup 2)-L-Methionyl-1-139-interferon gamma (Human Lymphocyte Protein Moiety Reduced)|Recombinant Interferon Gamma-1b|gamma Interferon 1B"
C100099	Synthetic Breast Cancer Peptides-Tetanus Toxoid-Poly ICLC Vaccine	Synthetic Breast Cancer Peptides-Tetanus Toxoid-Poly ICLC Vaccine|Synthetic Breast Cancer Peptides-Tetanus Toxoid-Poly ICLC Vaccine
C100101	Anti-CD37 Antibody-Drug Conjugate IMGN529	Anti-CD37 Antibody-Drug Conjugate IMGN529|Anti-CD37 Antibody-Drug Conjugate IMGN529|IMGN529
C1004	Antineoplaston A10	"3-Phenylacetylamino-2, 6-piperidinedione|3-Phenylacetylamino-2,6-piperidinedione|A10|ANTINEOPLASTON A10|Antineoplaston A10|Antineoplaston A10|Atengenal|Benzeneacetamide, N-(2,6-dioxo-3-piperidinyl)-, (S)-"
C1005	Arsenic Trioxide	ARSENIC TRIOXIDE|ATO|Arsenic (III) Oxide|Arsenic Sesquioxide|Arsenic Trioxide|Arsenic Trioxide|Arsenous Acid|Arsenous Acid Anhydride|Arsenous Oxide|Trisenox|Trisenox|White Arsenic|arsenic trioxide
C1007	Azapicyl	1-Acetyl-2-picolinoylhydrazine|1-acetyl-2-picolinoylhydrazine|2-acetylhydrazide-2-pyridinecarboxylic acid|Azapicyl|Azapicyl|P-2292
C1008	Azaribine	"1,2,4-Triazine-3,5(2H,4H)-dione, 2-Beta-D-ribofuranosyl-|2',3',4'-azauridine triacetate|2-(2,3,5-Tri-O-acetyl-beta-D-ribofuranosyl)-as-triazine-3,5(2H,4H)-dione|6-Azauridine Triacetate|6-Azauridine triacetate|AZARIBINE|Azaribine|Azauridine Triacetate|Azauridine triacetate|CB 304|SKI 28426|Triacetyl 6-azauridine|Triacetyl 6-azuridine|Triacetyl-6-azuridine|Triazure|Triazure"
C1009	Ethyleneimine	AZIRIDINE|Aminoethylene|Azacyclopropane|Azirane|Aziridine|Dimethyleneimine|Dimethylenimine|Ethyleneimine|Ethylenimine|Ethylimine
C1011	Beauvericin	Beauvericin
C101130	Guarana Supplement	Guarana Supplement|Paullinia cupana Supplement
C101132	mTOR1/2 Kinase Inhibitor ME-344	ME-344|mTOR1/2 Kinase Inhibitor ME-344
C101227	Hsp90 Inhibitor PU-H71	"9H-Purine-9-propanamine, 6-amino-8-((6-iodo-1,3-benzodioxol-5-yl)thio)-N-(1-methylethyl)-|Hsp90 Inhibitor PU-H71|Hsp90 Inhibitor PU-H71|PU-H-71|PU-H71|PU-H71|PUH71"
C101257	IGF-1R Antisense Oligodeoxynucleotide-treated Autologous Glioma Cells	IGF-1R Antisense Oligodeoxynucleotide-treated Autologous Glioma Cells|IGF-1R Antisense Oligodeoxynucleotide-treated Autologous Glioma Cells|IGF-1R/AS ODN-treated Autologous Glioma Cells
C101258	CD19CAR-CD3zeta-4-1BB-expressing Allogeneic T-lymphocyte Cells	CART-19 Cells|CD19CAR-CD3zeta-4-1BB-expressing Allogeneic T-lymphocyte Cells|CD19CAR-CD3zeta-4-1BB-expressing Allogeneic T-lymphocyte Cells
C101259	Pegylated Recombinant L-asparaginase Erwinia chrysanthemi	Asparec|Pegylated Recombinant L-asparaginase Erwinia chrysanthemi|mPEG-R-crisantaspase
C101260	Multifunctional/Multitargeted Anticancer Agent OMN54	Aneustat|MFMT OMN54|Multifunctional/Multitargeted Anticancer Agent OMN54|OMN54
C101261	Bevacizumab-IRDye 800CW	Bevacizumab-IRDye 800CW
C101262	Liposomal MUC1/PET-lipid A Vaccine ONT-10	Liposomal MUC1/PET-lipid A Vaccine ONT-10|ONT-10
C101264	Tubulin Polymerization Inhibitor CKD-516	"(S)-N-(4-(3-(1H-1,2,4-Triazol-1-yl)-4-(3,4,5-trimethoxybenzoyl)phenyl)thiazol-2-yl)-2-amino-3-methylbutanamide Hydrochloride|CKD-516|Tubulin Polymerization Inhibitor CKD-516"
C101366	Anti-CD40 Monoclonal Antibody Chi Lob 7/4	Anti-CD40 Monoclonal Antibody Chi Lob 7/4|Chi Lob 7/4
C101368	Danvatirsen	AZD9150|DANVATIRSEN|Danvatirsen|Danvatirsen|ISIS 481464|ISIS-STAT3rx
C101370	Immunomodulatory Agent CC-11006	CC-11006|CC-11006-MDS-001|Immunomodulatory Agent CC-11006|Immunomodulatory Agent CC-11006
C101371	Lentivirus Vector rHIV7-shI-TAR-CCR5RZ-transduced Hematopoietic Progenitor Cells	Lentivirus Vector rHIV7-shI-TAR-CCR5RZ-transduced Hematopoietic Progenitor Cells|Lentivirus Vector rHIV7-shI-TAR-CCR5RZ-transduced Hematopoietic Progenitor Cells
C1015	Ubenimex	"Bestatin|Bestatin|Bestatin|L-Leucine, N-(3-amino-2-hydroxy-1-oxo-4-phenylbutyl)-, [S-(R*,S*)]-|N-[(2S,3R)-4-phenyl-3-amino-2-hydroxybutyryl]-L-leucine|NK 421|UBENIMEX|Ubenimex|[(2S,3R)-3-amino-2-hydroxy-4-phenylbutanoyl]-L-leucine|[S-(R*,S*)]-N-(3-amino-2-hydroxy-1-oxo-4-phenylbutyl)-L-leucine"
C101517	Gamma-delta Tocotrienol	GDT|Gamma-delta Tocotrienol|gdT3
C101518	Tocotrienol-rich Fraction	TRF|Tocotrienol-rich Fraction
C101519	FMS Inhibitor JNJ-40346527	FMS Inhibitor JNJ-40346527|FMS Inhibitor JNJ-40346527|JNJ-40346527
C101520	FLT3/KIT Kinase Inhibitor AKN-028	AKN-028|BVT-II|FLT3/KIT Kinase Inhibitor AKN-028
C101521	Anti-DLL4 Monoclonal Antibody MEDI0639	Anti-DLL4 Monoclonal Antibody MEDI0639|Anti-DLL4 Monoclonal Antibody MEDI0639|MEDI0639
C101523	Hypoxia-activated Prodrug TH-4000	Hypoxia-activated Prodrug TH-4000|Hypoxia-activated Prodrug TH-4000|Hypoxin|PR610|TH-4000
C101524	Anti-GCC Antibody-Drug Conjugate MLN0264	Anti-GCC Antibody-Drug Conjugate MLN0264|Anti-GCC Antibody-Drug Conjugate MLN0264|MLN0264
C101525	TRPV6 Calcium Channel Inhibitor SOR-C13	SOR-C13|SOR-C13|TRPV6 Calcium Channel Inhibitor SOR-C13
C101530	Folate Binding Protein E39 Peptide Vaccine	E39 Peptide Vaccine|FBP E39 Peptide Vaccine|Folate Binding Protein E39 Peptide Vaccine|Folate Binding Protein E39 Peptide Vaccine
C101532	MEK Inhibitor WX-554	MEK Inhibitor WX-554|WX-554
C101538	Molibresib	GSK-525762A|GSK525762|I-BET 762|MOLIBRESIB|Molibresib|Molibresib
C1016	Beta-Carotene	".BETA.-CAROTENE|.beta.-Carotene|3,7,12,16-tetramethyl-1,18-bis(2,6,6-trimethyl-1-cyclohexenyl)-octadeca-1,3,5,7,9,11,13,15,17-nonaene|Beta Carotene|Beta-Carotene|Beta-carotene|Beta-carotene|CAROTENE, BETA|Lumitene|Solatene|Solatene|beta carotene|beta-Carotene"
C101773	Mesothelin-specific Chimeric Antigen Receptor-engineered Peripheral Blood Lymphocytes	Anti-mesothelin CAR PBL|Mesothelin-specific Chimeric Antigen Receptor-engineered Peripheral Blood Lymphocytes|Mesothelin-specific Chimeric Antigen Receptor-engineered Peripheral Blood Lymphocytes
C101777	Multi-epitope Folate Receptor Alpha Peptide Vaccine	FR Alpha Peptide Vaccine|Multi-epitope Folate Receptor Alpha Peptide Vaccine|Multi-epitope Folate Receptor Alpha Peptide Vaccine
C101786	Multi-AGC Kinase Inhibitor AT13148	AT13148|Multi-AGC Kinase Inhibitor AT13148
C101787	TIL 1383I T Cell Receptor-Transduced Autologous T Cells	TIL 1383I T Cell Receptor-Transduced Autologous T Cells|TIL 1383I T Cell Receptor-Transduced Autologous T Cells|TIL 1383I TCR Transduced Autologous T Cells
C101789	Adenoviral Transduced hIL-12-expressing Autologous Dendritic Cells INXN-3001 Plus Activator Ligand INXN-1001	Adenoviral Transduced hIL-12-expressing Autologous Dendritic Cells INXN-3001 Plus Activator Ligand INXN-1001|Adenoviral Transduced hIL-12-expressing Autologous Dendritic Cells INXN-3001 Plus Activator Ligand INXN-1001|DC-RTS-IL-12|INXN-3001/1001
C101790	Alectinib	"5H-benzo(b)carbazole-3-carbonitrile, 9-Ethyl-6,11-dihydro-6,6-dimethyl-8-(4-(4-morpholinyl)-1-piperidinyl)-11-oxo-|AF-802|AF802|ALECTINIB|Alecensa|Alecensa|Alectinib|Alectinib|CH5424802|RG7853|RO5424802"
C101791	Olmutinib	"2-Propenamide, N-(3-((2-((4-(4-methyl-1-piperazinyl)phenyl)amino)thieno(3,2-d)pyrimidin-4-yl)oxy)phenyl)-|BI 1482694|HM61713|OLMUTINIB|Olmutinib|Olmutinib"
C101792	Linoleyl Carbonate-Paclitaxel	2-Linoleyl Carbonate-paclitaxel|LOC-paclitaxel|Linoleyl Carbonate-Paclitaxel|Linoleyl Carbonate-paclitaxel
C101794	Aerosolized Aldesleukin	Aerosolized Aldesleukin|Aerosolized Aldesleukin|Aerosolized Recombinant IL-2
C101795	TORC1/2 Kinase Inhibitor DS-3078a	DS-3078a|TORC1/2 Kinase Inhibitor DS-3078a
C101889	EphA2-targeting DOPC-encapsulated siRNA	EphA2-targeting DOPC-encapsulated siRNA|EphA2-targeting DOPC-encapsulated siRNA|siRNA-EphA2-DOPC
C101891	Allogeneic GM-CSF-secreting Tumor Vaccine PANC 6.03 pcDNA-1/GM-Neo	Allogeneic GM-CSF-secreting Tumor Vaccine PANC 6.03 pcDNA-1/GM-Neo|PANC 6.03 pcDNA-1/GM-Neo
C101892	Allogeneic GM-CSF-secreting Tumor Vaccine PANC 10.05 pcDNA-1/GM-Neo	Allogeneic GM-CSF-secreting Tumor Vaccine PANC 10.05 pcDNA-1/GM-Neo|PANC 10.05 pcDNA-1/GM-Neo
C101893	HLA-A*2402-Restricted Multipeptide Vaccine S-488410	HLA-A*2402-Restricted Multipeptide Vaccine S-488410|S-488410
C101894	Poly-alendronate Dextran-Guanidine Conjugate	Dextran/Alendronate/Guanidine-containing Polybisphosphonate|ODX|Osteodex|Poly-alendronate Dextran-Guanidine Conjugate
C101895	Elgemtumab	ELGEMTUMAB|Elgemtumab|Elgemtumab|LJM-716|LJM716
C1019	Bisantrene	"9,10-Anthracenedicarboxakdehyde Bis[(4,5-dihydro-1H-imidazol-2-yl)hydrazone]|9,10-Anthracenedicarboxaldehyde Bis(2-imidazolin-2-yl)hydrazone|BISANTRENE|Bisantrene"
C1022	Emitefur	"(2) m-[[3-(Ethoxymethyl)-5-fluoro-3,6-dihydro-2,6-dioxo-1(2H)-pyrimidinyl]carbonyl]benzoic Acid, 2-Ester with 2,6-Dihydroxynicotinonitrile Benzoate (Ester)|3-((3-(Ethoxymethyl)-5-fluoro-3,6-dihydro-2,6-dioxo-1(2H)-pyrimidinyl)carbonyl)benzoic acid, 6-(benzoyloxy)-3-cyano-2-pyridinyl ester|3-[3-(6-Benzoyloxy-3-cyrano-2-pyridyloxycarbonyl)benzoyl]-1-(ethoxymethyl)-5-fluorouracil|BOF-A2|EMITEFUR|Emitefur|Last-F|[[Ethoxymethyl-5-fluoro-3,6-dihydro-2,6-dioxo-1(2H)-pyrimidinyl]carbonyl]benzoic Acid, 6-(Benzoyloxy)-3-cyano-2-pyridinyl Ester|emitefur"
C1025	Bruceantin	"2H-3, 11c-(Epoxymethano)phenanthro[10,1-bc]pyran, Picras-3-en-21-oic Acid Derivative|BRUCEANTIN|Bruceantin|Bruceantin|Picras-3-en-21-oic Acid, 15-[(3,4-dimethyl-1-oxo-2-pentenyl)oxy]-13,20-epoxy-3,11, 12-trihydroxy-2,16-dioxo-, Methyl Ester, (11beta,12alpha,15beta(E))|Picras-3-en-21-oic acid, 15-[(3, 4-dimethyl-1-oxo-2-pentenyl)oxy]-13,20-epoxy-3,11,12-trihydroxy-2, 16-dioxo-, methyl ester [11.beta.,12.alpha.,15.beta.(E)]-|Picras-3-en-21-oic acid, 15-[(3, 4-dimethyl-1-oxo-2-pentenyl)oxy]-13,20-epoxy-3,11,12-trihydroxy-2, 16-dioxo-, methyl ester, [11.beta.,12.alpha.,15.beta.(E)]-|[11Beta,12alpha,15beta(E)]-15-[(3,4-dimethyl-1-oxo-2-pentenyl)oxy]-13,20-epoxy-3,11,12-trihydroxy-2,16-dioxopicras-3-en-21-oic Acid Methyl Ester"
C102535	Anti-ErbB3 Monoclonal Antibody AV-203	AV-203|Anti-ErbB3 MoAb AV-203|Anti-ErbB3 Monoclonal Antibody AV-203|Anti-ErbB3 Monoclonal Antibody AV-203
C102541	Adenovirus-PSA Prostate Cancer Vaccine	Ad/PSA Vaccine|Adenovirus-PSA Prostate Cancer Vaccine|Adenovirus-PSA Prostate Cancer Vaccine|Adenovirus/PSA Vaccine
C102545	Recombinant Vesicular Stomatitis Virus-expressing Interferon-beta	Recombinant VSV-IFN-beta|Recombinant Vesicular Stomatitis Virus-expressing Interferon-beta|Recombinant Vesicular Stomatitis Virus-expressing Interferon-beta|VSV-hIFN-b
C102546	Selinexor	"2-Propenoic Acid, 3-(3-(3,5-Bis(trifluoromethyl)phenyl)-1H-1,2,4-triazol-1-yl)-, 2-(2-Pyrazinyl)hydrazide, (2Z)-|CRM1 Nuclear Export Inhibitor KPT-330|KPT-330|SELINEXOR|SINE KPT-330|Selective Inhibitor of Nuclear Export KPT-330|Selinexor|Selinexor"
C102554	Trifluridine and Tipiracil Hydrochloride	"Lonsurf|TAS 102|TAS-102|Thymidine, Alpha,alpha,alpha-trifluoro-, Mixt. with 5-Chloro-6-((2-imino-1-pyrrolidinyl)methyl)-2,4(1H,3H)-pyrimidinedione Monohydrochloride|Tipiracil Hydrochloride Mixture with Trifluridine|Trifluridine and Tipiracil Hydrochloride|Trifluridine and Tipiracil Hydrochloride|Trifluridine/Tipiracil|Trifluridine/Tipiracil Hydrochloride Combination Agent TAS-102"
C102564	Capivasertib	AZD5363|CAPIVASERTIB|Capivasertib|Capivasertib
C102565	Ipafricept	"Fusion Protein For Immune Applications (fpia) Comprising Homo Sapiens FZD8 (Frizzled Family Receptor 8, Frizzled-8) Extracellular Domain, Fused With Homo Sapiens Immunoglobulin G1 Fc Fragment|Fzd8-Fc|IPAFRICEPT|Ipafricept|Ipafricept|OMP 54F28|OMP-54F28"
C102566	Mirvetuximab Soravtansine	IMGN853|M9346A-sulfo-SPDB-DM4|MIRVETUXIMAB SORAVTANSINE|Mirvetuximab Soravtansine|Mirvetuximab Soravtansine
C102568	Docetaxel Lipid Microspheres	DLE|DT-LM|Docetaxel Lipid Emulsion|Docetaxel Lipid Microspheres
C102569	Recombinant EphB4-HSA Fusion Protein	Recombinant EphB4-HSA Fusion Protein|Recombinant EphB4-HSA Fusion Protein|sEphB4-HSA
C1026	Bryostatin 1	B705008K112|B705008K112|BRYOSTATIN 1|Bryostatin 1|Bryostatin 1|Bryostatin 1|Bryostatin I|bryostatin 1
C102746	PARP/Tankyrase Inhibitor 2X-121 	2X-121|2X-121|E-7449|E7449|PARP/TNKS Inhibitor 2X-121|PARP/Tankyrase Inhibitor 2X-121|PARP/Tankyrase Inhibitor 2X-121 
C102748	Vaccinium myrtillus/Macleaya cordata/Echinacea angustifolia Extract Granules	Samital Granules|V. myrtillus/M. cordata/E. angustfolia Extract Granules|Vaccinium myrtillus/Macleaya cordata/Echinacea angustifolia Extract Granules|Vaccinium myrtillus/Macleaya cordata/Echinacea angustifolia Extract Granules
C102749	Heparan Sulfate Glycosaminoglycan Mimetic M402	HSGAG Mimetic M402|Heparan Sulfate Glycosaminoglycan Mimetic M402|Heparan Sulfate Glycosaminoglycan Mimetic M402|M402
C102751	WT1 Peptide Vaccine WT2725	WT1 Peptide Vaccine WT2725|WT1 Peptide Vaccine WT2725|WT2725
C102752	Gemcitabine-Phosphoramidate Hydrochloride NUC-1031	Acelarin|Gemcitabine-Phosphoramidate Hydrochloride NUC-1031|Gemcitabine-Phosphoramidate Hydrochloride NUC-1031|Gemictabine ProTide|NUC-1031
C102753	Adenovirus Encoding Tyrosinase/MART-1/MAGEA6-transduced Autologous Dendritic Cell Vaccine	AdVTMM2-transduced Dendritic Cell Vaccine|Adenovirus Encoding Tyrosinase/MART-1/MAGEA6-transduced Autologous Dendritic Cell Vaccine|Adenovirus Encoding Tyrosinase/MART-1/MAGEA6-transduced Autologous Dendritic Cell Vaccine
C102754	Ensartinib	"6-Amino-5-[(1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy]- N-{4-[(3R,5S)-3,5-dimethylpiperazine- 1-carbonyl]phenyl}pyridazine-3-carboxamide|ENSARTINIB|Ensartinib|Ensartinib|X-396"
C102758	Tisagenlecleucel	CART-19|CART19|CTL019|CTL019 T-cells|Kymriah|TISAGENLECLEUCEL|Tisagenlecleucel|Tisagenlecleucel|Tisagenlecleucel-T
C102782	Recombinant Human MUC1-Oxidized Polymannose-pulsed Autologous Dendritic Cell Vaccine	Recombinant Human MUC1-Oxidized Polymannose-pulsed Autologous Dendritic Cell Vaccine|Recombinant Human MUC1-Oxidized Polymannose-pulsed Autologous Dendritic Cell Vaccine
C102783	Sacituzumab Govitecan	IMMU-132|RS7-SN38|SACITUZUMAB GOVITECAN|Sacituzumab Govitecan|Sacituzumab Govitecan|hRS7-SN38 Antibody Drug Conjugate
C102784	Talacotuzumab	Anti-IL-3 Receptor Alpha Monoclonal Antibody CSL362|CSL 362|CSL362|JNJ-56022473|JNJ56022473|TALACOTUZUMAB|Talacotuzumab|Talacotuzumab
C102787	HPV E6/E7 DNA Vaccine GX-188E	GX-188E|HPV E6/E7 DNA Vaccine GX-188E
C102847	Carmustine Sustained-Release Implant Wafer	CASANT Wafer|Carmustine Sustained-Release Implant Wafer
C102849	CK2-targeting Synthetic Peptide CIGB-300	CIGB-300|CK2-targeting Synthetic Peptide CIGB-300|P15-tat
C102850	Naphthalimide Analogue UNBS5162	"1-(2-(2-(Dimethylamino)ethyl)-1,3-dioxo-2,3-dihydro-1H-benzo[de]isoquinolin-5-yl)urea|Naphthalimide Analogue UNBS5162|Naphthalimide Analogue UNBS5162|UNBS5162"
C102851	Ulinastatin	"Bikunin|Trypsin Inhibitor, Bikunin|ULINASTATIN|UTI|Ulinastatin|Urinary Trypsin Inhibitor"
C102852	Fruquintinib	"6-(6,7-Dimethoxyquinazolin-4-yl)oxy-N,2-dimethyl-1-benzofuran-3-carboxamide|FRUQUINTINIB|Fruquintinib|Fruquintinib|HMPL-013|VEGFR-1/2/3 Inhibitor HMPL-013"
C102853	Anti-TGF-beta RII Monoclonal Antibody IMC-TR1	Anti-TGF-beta RII Monoclonal Antibody IMC-TR1|Anti-TGF-beta RII Monoclonal Antibody IMC-TR1|IMC-TR1|LY3022859
C102855	CYP17 Inhibitor CFG920	CFG920|CYP17 Inhibitor CFG920|CYP17 Inhibitor CFG920
C102856	Gemcitabine Prodrug LY2334737	Gemcitabine Prodrug LY2334737|Gemcitabine Prodrug LY2334737|LY2334737
C102874	HPV-16 E6 Peptides Vaccine/Candida albicans Extract	HPV-16 E6 Peptides Vaccine/Candida albicans Extract|HPV-16 E6 Peptides Vaccine/Candin
C102875	Nanoparticle-encapsulated Doxorubicin Hydrochloride	BA-003|Doxorubicin Transdrug|Livatag|Nanoparticle-encapsulated Doxorubicin Hydrochloride
C102876	Tirabrutinib	"6-Amino-9-((3R)-1-(2-butynoyl)-3-pyrrolidinyl)-7-(4-phenoxyphenyl)-7,9-dihydro-8H-purin-8-one|8H-Purin-8-one,6-amino-7,9-dihydro-9-((3R)-1-(1-oxo-2-butyn-1-yl)-3-pyrrolidinyl)-7-(4-phenoxyphenyl)|GS-4059|ONO-4059|ONO4059|TIRABRUTINIB|Tirabrutinib|Tirabrutinib"
C102877	Tanibirumab	TTAC-0001|Tanibirumab
C102878	Boanmycin Hydrochloride	BAM HCl|Bleomycin A6 Hydrochloride|Boanmycin Hydrochloride
C102879	hTERT/Survivin/CMV Multipeptide Vaccine	hTERT/Survivin/CMV Multipeptide Vaccine|hTERT/Survivin/CMV Multipeptide Vaccine
C102880	Everolimus Tablets for Oral Suspension	Afinitor Disperz|Everolimus Tablets for Oral Suspension
C102881	Thioureidobutyronitrile	"4-ISOTHIOUREIDOBUTYRONITRILE|4-Isothioureidobutyronitrile|Carbamimidothioic Acid, 3-Cyanopropyl Ester|Kevetrin|Thioureidobutyronitrile|Thioureidobutyronitrile"
C1029	Buthionine Sulfoximine	"2-Amino-4-(S-butylsulfonimidoyl) Butanoic Acid|BSO|BUTHIONINE SULFOXIMINE, L-|Butanoic Acid, 2-Amino-4-(S-butylsulfonimidoyl)-|Butanoic acid, 2-amino-4-(S-butylsulfonimidoyl)-|Buthionine Sulfoximine|Buthionine Sulfoximine|Buthionine Sulfoximine|Buthionine Sulphoximine|L-Buthionine Sulfoximine|L-Buthionine sulfoximine|S-(3-Amino-3-carboxypropyl)-S-butylsulfoximine|S-(n-Butyl)homocysteine Sulfoximine|buthionine sulfoximine"
C102976	Src/Abl Kinase Inhibitor AZD0424	AZD0424|Src/Abl Kinase Inhibitor AZD0424
