"HUGO_GENE_SYMBOL","ENTREZ_GENE_ID"
"ABL1",25
"ABL2",27
"ACVR1",90
"ACVR2A",92
"AKT1",207
"AKT2",208
"ALDH2",217
"ALK",238
"ANK1",286
"APC",324
"BIRC3",330
"FAS",355
"AR",367
"ARAF",369
"RHOA",387
"ARHGAP5",394
"RHOH",399
"ARNT",405
"ZFHX3",463
"ATF1",466
"ATIC",471
"ATM",472
"ATP1A1",476
"ATP2B3",492
"ATR",545
"ATRX",546
"B2M",567
"BARD1",580
"BAX",581
"CCND1",595
"BCL2",596
"BCL3",602
"BCL6",604
"BCL7A",605
"BCL9",607
"TNFRSF17",608
"BCR",613
"PRDM1",639
"BLM",641
"BMP5",653
"BMPR1A",657
"FOXL2",668
"BRCA1",672
"BRAF",673
"BRCA2",675
"BTG1",694
"BTK",695
"BUB1B",701
"CACNA1D",776
"CALR",811
"CARS1",833
"CASP3",836
"CASP8",841
"CASP9",842
"RUNX1",861
"RUNX1T1",862
"CBFA2T3",863
"CBFB",865
"CBL",867
"CBLB",868
"CCNC",892
"CCND2",894
"CCND3",896
"CCNE1",898
"CD28",940
"CD74",972
"CD79A",973
"CD79B",974
"CDH1",999
"CDH10",1008
"CDH11",1009
"CDH17",1015
"CDK4",1019
"CDK6",1021
"CDKN1A",1026
"CDKN1B",1027
"CDKN2A",1029
"CDKN2C",1031
"CDX2",1045
"CEBPA",1050
"CHD2",1106
"CHD4",1108
"CLTC",1213
"CCR4",1233
"CCR7",1236
"COL1A1",1277
"COL2A1",1280
"COL3A1",1281
"KLF6",1316
"COX6C",1345
"CREB1",1385
"CREBBP",1387
"CSF1R",1436
"CSF3R",1441
"CTNNA2",1496
"CTNNB1",1499
"CTNND1",1500
"CTNND2",1501
"CUX1",1523
"CYLD",1540
"CYP2C8",1558
"DAXX",1616
"DCC",1630
"DCTN1",1639
"DDB2",1643
"DDIT3",1649
"DDX3X",1654
"DDX5",1655
"DDX6",1656
"DDX10",1662
"DNM2",1785
"DNMT3A",1788
"EBF1",1879
"EGFR",1956
"EIF1AX",1964
"EIF4A2",1974
"ELF3",1999
"ELF4",2000
"ELK4",2005
"ELN",2006
"EP300",2033
"EPAS1",2034
"EPHA3",2042
"EPHA7",2045
"EPS15",2060
"ERBB2",2064
"ERBB3",2065
"ERBB4",2066
"ERCC2",2068
"ERCC3",2071
"ERCC4",2072
"ERCC5",2073
"ERG",2078
"ESR1",2099
"ETV1",2115
"ETV4",2118
"ETV5",2119
"ETV6",2120
"MECOM",2122
"EWSR1",2130
"EXT1",2131
"EXT2",2132
"EZH2",2146
"FANCA",2175
"FANCC",2176
"FANCD2",2177
"FANCE",2178
"ACSL3",2181
"FANCF",2188
"FANCG",2189
"FAT1",2195
"FBLN2",2199
"FCGR2B",2213
"FEN1",2237
"FES",2242
"FGFR1",2260
"FGFR3",2261
"GPC5",2262
"FGFR2",2263
"FGFR4",2264
"FH",2271
"FHIT",2272
"FOXO1",2308
"FOXO3",2309
"FLI1",2313
"FLNA",2316
"FLT3",2322
"FLT4",2324
"MTOR",2475
"FUS",2521
"KDSR",2531
"GATA1",2623
"GATA2",2624
"GATA3",2625
"GPC3",2719
"GLI1",2735
"GNA11",2767
"GNAQ",2776
"GNAS",2778
"GRIN2A",2903
"GRM3",2913
"MSH6",2956
"H3F3A",3020
"H3F3B",3021
"NRG1",3084
"HIF1A",3091
"HIP1",3092
"HLA-A",3105
"MNX1",3110
"HLF",3131
"HMGA1",3159
"FOXA1",3169
"HNRNPA2B1",3181
"TLX1",3195
"HOXA9",3205
"HOXA11",3207
"HOXA13",3209
"HOXC11",3227
"HOXC13",3229
"HOXD11",3237
"HOXD13",3239
"HRAS",3265
"HSP90AA1",3320
"HSP90AB1",3326
"DNAJB1",3337
"TNC",3371
"ID3",3399
"IDH1",3417
"IDH2",3418
"IGH",3492
"IGL",3535
"IKBKB",3551
"IL2",3558
"IL6ST",3572
"IL7R",3575
"EIF3E",3646
"IRF4",3662
"ITGAV",3685
"ITK",3702
"JAK1",3716
"JAK2",3717
"JAK3",3718
"JUN",3725
"KCNJ5",3762
"KDR",3791
"KIF5B",3799
"KIT",3815
"KLK2",3817
"KRAS",3845
"KTN1",3895
"AFF3",3899
"LASP1",3927
"LCK",3932
"LCP1",3936
"LIFR",3977
"LMNA",4000
"LMO1",4004
"LMO2",4005
"LPP",4026
"LYL1",4066
"SMAD2",4087
"SMAD3",4088
"SMAD4",4089
"MAF",4094
"MAX",4149
"MDM2",4193
"MDM4",4194
"MAP3K1",4214
"MEN1",4221
"MET",4233
"MGMT",4255
"CIITA",4261
"MITF",4286
"MLF1",4291
"MLH1",4292
"KMT2A",4297
"MLLT1",4298
"AFF1",4299
"MLLT3",4300
"AFDN",4301
"MLLT6",4302
"FOXO4",4303
"MN1",4330
"MPL",4352
"MSH2",4436
"MSN",4478
"MTCP1",4515
"MUC1",4582
"MUC4",4585
"MUTYH",4595
"MYB",4602
