"HUGO_GENE_SYMBOL","ENTREZ_GENE_ID"
"ABL1",25
"ACVR1B",91
"AKT1",207
"AKT2",208
"AKT3",10000
"ALK",238
"ALOX12B",242
"AMER1",139285
"APC",324
"AR",367
"ARAF",369
"ARFRP1",10139
"ARID1A",8289
"ASXL1",171023
"ATM",472
"ATR",545
"ATRX",546
"AURKA",6790
"AURKB",9212
"AXIN1",8312
"AXL",558
"BAP1",8314
"BARD1",580
"BCL2",596
"BCL2L1",598
"BCL2L2",599
"BCL6",604
"BCOR",54880
"BCORL1",63035
"BCR",613
"BRAF",673
"BRCA1",672
"BRCA2",675
"BRD4",23476
"BRIP1",83990
"BTG1",694
"BTG2",7832
"BTK",695
"CALR",811
"CARD11",84433
"CASP8",841
"CBFB",865
"CBL",867
"CCND1",595
"CCND2",894
"CCND3",896
"CCNE1",898
"CD22",933
"CD274",29126
"CD70",970
"CD74",972
"CD79A",973
"CD79B",974
"CDC73",79577
"CDH1",999
"CDK12",51755
"CDK4",1019
"CDK6",1021
"CDK8",1024
"CDKN1A",1026
"CDKN1B",1027
"CDKN2A",1029
"CDKN2B",1030
"CDKN2C",1031
"CEBPA",1050
"CHEK1",1111
"CHEK2",11200
"CIC",23152
"CREBBP",1387
"CRKL",1399
"CSF1R",1436
"CSF3R",1441
"CTCF",10664
"CTNNA1",1495
"CTNNB1",1499
"CUL3",8452
"CUL4A",8451
"CXCR4",7852
"CYP17A1",1586
"DAXX",1616
"DDR1",780
"DDR2",4921
"DIS3",22894
"DNMT3A",1788
"DOT1L",84444
"EED",8726
"EGFR",1956
"EMSY",56946
"EP300",2033
"EPHA3",2042
"EPHB1",2047
"EPHB4",2050
"ERBB2",2064
"ERBB3",2065
"ERBB4",2066
"ERCC4",2072
"ERG",2078
"ERRFI1",54206
"ESR1",2099
"ETV4",2118
"ETV5",2119
"ETV6",2120
"EWSR1",2130
"EZH2",2146
"EZR",7430
"FANCA",2175
"FANCC",2176
"FANCG",2189
"FANCL",55120
"FAS",355
"FBXW7",55294
"FGF10",2255
"FGF12",2257
"FGF14",2259
"FGF19",9965
"FGF23",8074
"FGF3",2248
"FGF4",2249
"FGF6",2251
"FGFR1",2260
"FGFR2",2263
"FGFR3",2261
"FGFR4",2264
"FH",2271
"FLCN",201163
"FLT1",2321
"FLT3",2322
"FOXL2",668
"FUBP1",8880
"GABRA6",2559
"GATA3",2625
"GATA4",2626
"GATA6",2627
"GID4",79018
"GNA11",2767
"GNA13",10672
"GNAQ",2776
"GNAS",2778
"GRM3",2913
"GSK3B",2932
"H3F3A",3020
"HDAC1",3065
"HGF",3082
"HNF1A",6927
"HRAS",3265
"HSD3B1",3283
"ID3",3399
"IDH1",3417
"IDH2",3418
"IGF1R",3480
"IKBKE",9641
"IKZF1",10320
"INPP4B",8821
"IRF2",3660
"IRF4",3662
"IRS2",8660
"JAK1",3716
"JAK2",3717
"JAK3",3718
"JUN",3725
"KDM5A",5927
"KDM5C",8242
"KDM6A",7403
"KDR",3791
"KEAP1",9817
"KEL",3792
"KIT",3815
"KLHL6",89857
"KMT2A",4297
"KMT2D",8085
"KRAS",3845
"LTK",4058
"LYN",4067
"MAF",4094
"MAP2K1",5604
"MAP2K2",5605
"MAP2K4",6416
"MAP3K1",4214
"MAP3K13",9175
"MAPK1",5594
"MCL1",4170
"MDM2",4193
"MDM4",4194
"MED12",9968
"MEF2B",100271849
"MEN1",4221
"MERTK",10461
"MET",4233
"MITF",4286
"MKNK1",8569
"MLH1",4292
"MPL",4352
"MRE11",4361
"MSH2",4436
"MSH3",4437
"MSH6",2956
"MST1R",4486
"MTAP",4507
"MTOR",2475
"MUTYH",4595
"MYB",4602
"MYC",4609
"MYCL",4610
"MYCN",4613
"MYD88",4615
"NBN",4683
"NF1",4763
"NF2",4771
"NFE2L2",4780
"NFKBIA",4792
"NKX2-1",7080
"NOTCH1",4851
"NOTCH2",4853
"NOTCH3",4854
"NPM1",4869
"NRAS",4893
"NSD2",7468
"NSD3",54904
"NT5C2",22978
"NTRK1",4914
"NTRK2",4915
"NTRK3",4916
"NUTM1",256646
"P2RY8",286530
"PALB2",79728
"PARP1",142
"PARP2",10038
"PARP3",10039
"PAX5",5079
"PBRM1",55193
"PDCD1",5133
"PDCD1LG2",80380
"PDGFRA",5156
"PDGFRB",5159
"PDK1",5163
"PIK3C2B",5287
"PIK3C2G",5288
"PIK3CA",5290
"PIK3CB",5291
"PIK3R1",5295
"PIM1",5292
"PMS2",5395
"POLD1",5424
"POLE",5426
"PPARG",5468
"PPP2R1A",5518
"PPP2R2A",5520
"PRDM1",639
"PRKAR1A",5573
"PRKCI",5584
"PRKN",5071
"PTCH1",5727
"PTEN",5728
"PTPN11",5781
"PTPRO",5800
"QKI",9444
"RAC1",5879
"RAD21",5885
"RAD51",5888
"RAD51B",5890
"RAD51C",5889
"RAD51D",5892
"RAD52",5893
"RAD54L",8438
"RAF1",5894
"RARA",5914
"RB1",5925
"RBM10",8241
"REL",5966
"RET",5979
"RICTOR",253260
"RNF43",54894
"ROS1",6098
"RPTOR",57521
"RSPO2",340419
"SDC4",6385
"SDHA",6389
"SDHB",6390
"SDHC",6391
"SDHD",6392
"SETD2",29072
"SF3B1",23451
"SGK1",6446
"SLC34A2",10568
"SMAD2",4087
"SMAD4",4089
"SMARCA4",6597
"SMARCB1",6598
"SMO",6608
"SNCAIP",9627
"SOCS1",8651
"SOX2",6657
"SOX9",6662
"SPEN",23013
"SPOP",8405
"SRC",6714
"STAG2",10735
"STAT3",6774
"STK11",6794
"SUFU",51684
"SYK",6850
"TBX3",6926
"TEK",7010
"TENT5C",54855
"TERC",7012
"TERT",7015
"TET2",54790
"TGFBR2",7048
"TIPARP",25976
"TMPRSS2",7113
"TNFAIP3",7128
"TNFRSF14",8764
"TP53",7157
"TSC1",7248
"TSC2",7249
"TYRO3",7301
"U2AF1",7307
"VEGFA",7422
"VHL",7428
"WT1",7490
"XPO1",7514
"XRCC2",7516
"ZNF217",7764
"ZNF703",80139
