"HUGO_GENE_SYMBOL","ENTREZ_GENE_ID"
"ABL1",25
"ABL2",27
"ACTB",60
"AKT1",207
"AKT2",208
"ALK",238
"APC",324
"BIRC3",330
"FAS",355
"AR",367
"ARAF",369
"RHOA",387
"RHOH",399
"ARNT",405
"ATF1",466
"ATIC",471
"ATM",472
"ATR",545
"ATRX",546
"AXL",558
"B2M",567
"BARD1",580
"CCND1",595
"BCL2",596
"BCL2L2",599
"BCL3",602
"BCL6",604
"BCL7A",605
"NBEAP1",606
"BCL9",607
"TNFRSF17",608
"BCR",613
"PRDM1",639
"BLM",641
"FOXL2",668
"BRCA1",672
"BRAF",673
"BRCA2",675
"BTG1",694
"BTK",695
"CAD",790
"CALR",811
"CARS1",833
"RUNX2",860
"RUNX1",861
"RUNX1T1",862
"CBFA2T3",863
"CBFB",865
"CBL",867
"CCND2",894
"CCND3",896
"CCNE1",898
"CD22",933
"CD36",948
"CD58",965
"CD70",970
"CD79A",973
"CD79B",974
"CDH1",999
"CDK4",1019
"CDK6",1021
"CDK8",1024
"CDKN1B",1027
"CDKN2A",1029
"CDKN2B",1030
"CDKN2C",1031
"CDX2",1045
"CEBPA",1050
"CHD2",1106
"CHEK1",1111
"CHN1",1123
"CKS1B",1163
"CLTC",1213
"COL1A1",1277
"CPS1",1373
"CREBBP",1387
"CRKL",1399
"CSF1",1435
"CSF1R",1436
"CSF3R",1441
"CTNNA1",1495
"CTNNB1",1499
"CUX1",1523
"DAXX",1616
"DDIT3",1649
"DDX3X",1654
"DDX6",1656
"DDX10",1662
"DNM2",1785
"DNMT3A",1788
"DTX1",1840
"DUSP2",1844
"DUSP9",1852
"EBF1",1879
"EGFR",1956
"EIF4A2",1974
"ELF4",2000
"ELN",2006
"EP300",2033
"EPHA3",2042
"EPHA5",2044
"EPHA7",2045
"EPHB1",2047
"EPOR",2057
"EPS15",2060
"ERBB2",2064
"ERBB3",2065
"ERBB4",2066
"ERG",2078
"ESR1",2099
"ETS1",2113
"ETV1",2115
"ETV4",2118
"ETV5",2119
"ETV6",2120
"MECOM",2122
"EWSR1",2130
"EZH2",2146
"FANCA",2175
"FANCC",2176
"FANCD2",2177
"FANCE",2178
"FANCF",2188
"FANCG",2189
"FCGR2B",2213
"FGF3",2248
"FGF4",2249
"FGF6",2251
"FGF10",2255
"FGF14",2259
"FGFR1",2260
"FGFR3",2261
"FGFR2",2263
"FGFR4",2264
"FHIT",2272
"FOXO1",2308
"FOXO3",2309
"FLI1",2313
"FLT1",2321
"FLT3",2322
"FLT4",2324
"MTOR",2475
"FUS",2521
"KDSR",2531
"GATA1",2623
"GATA2",2624
"GATA3",2625
"GLI1",2735
"GNA11",2767
"GNA12",2768
"GNAQ",2776
"GNAS",2778
"GRIN2A",2903
"GSK3B",2932
"MSH6",2956
"HIST1H1C",3006
"HIST1H1D",3007
"HIST1H1E",3008
"HDAC1",3065
"HGF",3082
"HIP1",3092
"MNX1",3110
"HLF",3131
"HMGA1",3159
"TLX1",3195
"HOXA3",3200
"HOXA9",3205
"HOXA11",3207
"HOXA13",3209
"HOXC11",3227
"HOXC13",3229
"HOXD11",3237
"HOXD13",3239
"HRAS",3265
"HSP90AA1",3320
"HSP90AB1",3326
"IRF8",3394
"ID3",3399
"IDH1",3417
"IDH2",3418
"IGF1R",3480
"IGH",3492
"IGL",3535
"IL3",3562
"IL7R",3575
"INHBA",3624
"INPP5D",3635
"IRF1",3659
"IRF4",3662
"ITK",3702
"JAK1",3716
"JAK2",3717
"JAK3",3718
"JARID2",3720
"JUN",3725
"KDR",3791
"KIF5B",3799
"KIT",3815
"KRAS",3845
"LASP1",3927
"LCP1",3936
"LMO1",4004
"LMO2",4005
"LPP",4026
"LYL1",4066
"SMAD2",4087
"SMAD4",4089
"MAF",4094
"MCL1",4170
"MDM2",4193
"MDM4",4194
"MEF2C",4208
"MAP3K1",4214
"MEN1",4221
"MET",4233
"CIITA",4261
"MITF",4286
"MKI67",4288
"MLF1",4291
"MLH1",4292
"KMT2A",4297
"MLLT1",4298
"AFF1",4299
"MLLT3",4300
"AFDN",4301
"MLLT6",4302
"FOXO4",4303
"MN1",4330
"MPL",4352
"MRE11",4361
"MSH2",4436
"MSH3",4437
"MSN",4478
"MUC1",4582
"MUTYH",4595
"MYB",4602
"MYC",4609
"MYCL",4610
"MYCN",4613
"MYD88",4615
"GADD45B",4616
"MYH9",4627
"MYH11",4629
"NACA",4666
"NF1",4763
"NF2",4771
"NFE2L2",4780
"NFKB2",4791
"NFKBIA",4792
"NOTCH1",4851
"NOTCH2",4853
"NPM1",4869
"NRAS",4893
"NTRK1",4914
"NTRK2",4915
"NTRK3",4916
"DDR2",4921
"NUMA1",4926
"NUP98",4928
"OMD",4958
"PAFAH1B2",5049
"PAK3",5063
"PAX3",5077
"PAX5",5079
"PAX7",5081
"PBX1",5087
"PC",5091
"PCBP1",5093
"PCM1",5108
"PDCD1",5133
"PDGFB",5155
