"HUGO_GENE_SYMBOL","ENTREZ_GENE_ID"
"ABL1",25
"ABRAXAS1",84142
"ACVR1",90
"AGO1",26523
"AGO2",27161
"AKT1",207
"AKT2",208
"AKT3",10000
"ALB",213
"ALK",238
"ALOX12B",242
"AMER1",139285
"ANKRD11",29123
"APC",324
"APLNR",187
"AR",367
"ARAF",369
"ARHGAP35",2909
"ARID1A",8289
"ARID1B",57492
"ARID2",196528
"ARID5B",84159
"ASXL1",171023
"ASXL2",55252
"ATM",472
"ATR",545
"ATRX",546
"ATXN7",6314
"AURKA",6790
"AURKB",9212
"AXIN1",8312
"AXIN2",8313
"AXL",558
"B2M",567
"BABAM1",29086
"BAP1",8314
"BARD1",580
"BBC3",27113
"BCL10",8915
"BCL2",596
"BCL2L1",598
"BCL2L11",10018
"BCL6",604
"BCOR",54880
"BIRC3",330
"BLM",641
"BMPR1A",657
"BRAF",673
"BRCA1",672
"BRCA2",675
"BRD4",23476
"BRIP1",83990
"BTK",695
"CALR",811
"CARD11",84433
"CARM1",10498
"CASP8",841
"CBFB",865
"CBL",867
"CCND1",595
"CCND2",894
"CCND3",896
"CCNE1",898
"CCNQ",92002
"CD274",29126
"CD276",80381
"CD79A",973
"CD79B",974
"CDC42",998
"CDC73",79577
"CDH1",999
"CDK12",51755
"CDK4",1019
"CDK6",1021
"CDK8",1024
"CDKN1A",1026
"CDKN1B",1027
"CDKN2A",1029
"CDKN2B",1030
"CDKN2C",1031
"CEBPA",1050
"CENPA",1058
"CHEK1",1111
"CHEK2",11200
"CIC",23152
"CMTR2",55783
"COP1",64326
"CREBBP",1387
"CRKL",1399
"CRLF2",64109
"CSDE1",7812
"CSF1R",1436
"CSF3R",1441
"CTCF",10664
"CTLA4",1493
"CTNNB1",1499
"CTR9",9646
"CUL3",8452
"CXCR4",7852
"CYLD",1540
"CYP19A1",1588
"CYSLTR2",57105
"DAXX",1616
"DCUN1D1",54165
"DDR2",4921
"DICER1",23405
"DIS3",22894
"DNAJB1",3337
"DNMT1",1786
"DNMT3A",1788
"DNMT3B",1789
"DOT1L",84444
"DROSHA",29102
"DUSP4",1846
"E2F3",1871
"EED",8726
"EGFL7",51162
"EGFR",1956
"EIF1AX",1964
"EIF4A2",1974
"EIF4E",1977
"ELF3",1999
"ELOC",6921
"EP300",2033
"EPAS1",2034
"EPCAM",4072
"EPHA3",2042
"EPHA5",2044
"EPHA7",2045
"EPHB1",2047
"ERBB2",2064
"ERBB3",2065
"ERBB4",2066
"ERCC2",2068
"ERCC3",2071
"ERCC4",2072
"ERCC5",2073
"ERF",2077
"ERG",2078
"ERRFI1",54206
"ESR1",2099
"ETAA1",54465
"ETV1",2115
"ETV6",2120
"EZH1",2145
"EZH2",2146
"EZHIP",340602
"FANCA",2175
"FANCC",2176
"FAT1",2195
"FBXW7",55294
"FGF19",9965
"FGF3",2248
"FGF4",2249
"FGFR1",2260
"FGFR2",2263
"FGFR3",2261
"FGFR4",2264
"FH",2271
"FLCN",201163
"FLT1",2321
"FLT3",2322
"FLT4",2324
"FOXA1",3169
"FOXF1",2294
"FOXL2",668
"FOXO1",2308
"FOXP1",27086
"FUBP1",8880
"FYN",2534
"GAB1",2549
"GAB2",9846
"GATA1",2623
"GATA2",2624
"GATA3",2625
"GLI1",2735
"GNA11",2767
"GNAQ",2776
"GNAS",2778
"GNB1",2782
"GPS2",2874
"GREM1",26585
"GRIN2A",2903
"GSK3B",2932
"H3F3A",3020
"H3F3B",3021
"H3F3C",440093
"HGF",3082
"HIST1H1C",3006
"HIST1H2BD",3017
"HIST1H3A",8350
"HIST1H3B",8358
"HIST1H3C",8352
"HIST1H3D",8351
"HIST1H3E",8353
"HIST1H3F",8968
"HIST1H3G",8355
"HIST1H3H",8357
"HIST1H3I",8354
"HIST1H3J",8356
"HIST2H3C",126961
"HIST2H3D",653604
"HIST3H3",8290
"HLA-A",3105
"HLA-B",3106
"HLA-C",3107
"HNF1A",6927
"HOXB13",10481
"HRAS",3265
"ICOSLG",23308
"ID3",3399
"IDH1",3417
"IDH2",3418
"IFNGR1",3459
"IGF1",3479
"IGF1R",3480
"IGF2",3481
"IKBKE",9641
"IKZF1",10320
"IL10",3586
"IL7R",3575
"INHA",3623
"INHBA",3624
"INPP4A",3631
"INPP4B",8821
"INPPL1",3636
"INSR",3643
"IRF4",3662
"IRS1",3667
"IRS2",8660
"JAK1",3716
"JAK2",3717
"JAK3",3718
"JUN",3725
"KBTBD4",55709
"KDM5A",5927
"KDM5C",8242
"KDM6A",7403
"KDR",3791
"KEAP1",9817
"KIT",3815
"KLF4",9314
"KLF5",688
"KMT2A",4297
"KMT2B",9757
"KMT2C",58508
"KMT2D",8085
"KMT5A",387893
"KNSTRN",90417
"KRAS",3845
"LATS1",9113
"LATS2",26524
"LMO1",4004
"LYN",4067
"LZTR1",8216
"MAD2L2",10459
"MALT1",10892
"MAP2K1",5604
"MAP2K2",5605
"MAP2K4",6416
"MAP3K1",4214
"MAP3K13",9175
"MAP3K14",9020
"MAPK1",5594
"MAPK3",5595
"MAPKAP1",79109
"MAX",4149
"MCL1",4170
"MDC1",9656
"MDM2",4193
"MDM4",4194
"MED12",9968
"MEF2B",100271849
"MEN1",4221
"MET",4233
"MGA",23269
"MITF",4286
"MLH1",4292
"MLLT1",4298
"MPL",4352
"MRE11",4361
"MSH2",4436
"MSH3",4437
"MSH6",2956
"MSI1",4440
"MSI2",124540
"MST1",4485
"MST1R",4486
"MTAP",4507
"MTOR",2475
"MUTYH",4595
"MYC",4609
"MYCL",4610
"MYCN",4613
"MYD88",4615
"MYOD1",4654
"NADK",65220
"NBN",4683
"NCOA3",8202
