Entrez	HUGO	IMPACT	Vogelstein	Sanger-CGC	QUEST-34	Tumor-suppressor-gene	Oncogene
207	AKT1	1	1	1	1	0	1
5290	PIK3CA	1	1	1	1	0	1
595	CCND1	1	1	1	0	0	1
673	BRAF	1	1	1	1	0	1
3265	HRAS	1	1	1	1	0	1
4893	NRAS	1	1	1	1	0	1
1956	EGFR	1	1	1	1	0	1
5156	PDGFRA	1	1	1	0	0	1
2064	ERBB2	1	1	1	1	0	1
2263	FGFR2	1	1	1	1	0	1
2261	FGFR3	1	1	1	1	0	1
1499	CTNNB1	1	1	1	1	0	1
1788	DNMT3A	1	1	1	0		
2146	EZH2	1	1	1	0	0	1
2322	FLT3	1	1	1	0	0	1
2778	GNAS	1	1	1	1	0	1
3417	IDH1	1	1	1	1	0	1
3418	IDH2	1	1	1	1	0	1
3717	JAK2	1	1	1	0	0	1
3815	KIT	1	1	1	1	0	1
3845	KRAS	1	1	1	1	0	1
9968	MED12	1	1	1	0		
4780	NFE2L2	1	1	1	0	0	1
5518	PPP2R1A	1	1	1	0		
5781	PTPN11	1	1	1	0		
23451	SF3B1	1	1	1	0		
4193	MDM2	1	1	1	0	0	1
4194	MDM4	1	1	1	0	0	1
4233	MET	1	1	1	1	0	1
238	ALK	1	1	1	1	0	1
4609	MYC	1	1	1	0	0	1
5979	RET	1	1	1	1	0	1
25	ABL1	1	1	1	0	0	1
84433	CARD11	1	1	1	0		
867	CBL	1	1	1	0		
64109	CRLF2	1	1	1	0		
668	FOXL2	1	1	1	1		
2624	GATA2	1	1	1	0		
2767	GNA11	1	1	1	1		
2776	GNAQ	1	1	1	1		
3716	JAK1	1	1	1	0		
3718	JAK3	1	1	1	0		
4352	MPL	1	1	1	0		
4610	MYCL1	1	1	1	0		
4613	MYCN	1	1	1	0	0	1
4615	MYD88	1	1	1	0		
7080	NKX2-1	1	1	1	0		
6608	SMO	1	1	1	1		
7253	TSHR	1	1	1	0		
4004	LMO1	1	1	1	0		
5295	PIK3R1	1	1	1	1	1	0
