#quest_cancer_type	name
actl	angioimmunoblastic t cell lymphoma
aitl	angioimmunoblastic t cell lymphoma
aitl/actl	angioimmunoblastic t cell lymphoma
alcl	anaplastic large cell lymphoma
aml	acute myeloid leukemia
b-all	b cell acute lymphoblastic leukemia
basal cell carcinoma	skin basal cell carcinoma
bladder cancer	bladder cancer
bladder cancer	bladder urothelial carcinoma
brain cancer	glioblastoma
brain cancer	glioma
brain cancer	GBM
brain cancer	low grade glioma
brain cancer	medulloblastoma
brain cancer	meningioma
brain cancer	pheochromocytoma
brain cancer	pituitary adenomas
brain cancer	pituitary tumors
breast cancer	breast cancer
cervical cancer	cervical cancer
cervical cancer	uterine cancer
cholangiocarcinoma	cholangiocarcinoma
chondrosarcoma	chondrosarcoma
cll	chronic lymphocytic leukemia
cml	chronic myelomonocytic leukemia
colon cancer	colorectal cancer
colorectal cancer	colorectal cancer
desmoid tumor	desmoid tumors
endometrial cancer	endometrial carcinoma
endometrial cancer	uterine cancer
esophageal cancer	esophageal squamous cell carcinoma
gastric cancer	gastric cancer
gist	gastrointestinal stromal tumor
gist	gastric cancer
gist	stomach adenocarcinoma
gist	stomach cancer
glioblastoma multiforme	glioblastoma
hairy cell leukemia	hairy cell leukemia
head and neck cancer	head and neck cancer
head and neck cancer	head and neck squamous cell carcinoma
head and neck cancer	adenoid cystic carcinoma
infl myofibrolastic tumor	inflammatory myofibroblastic tumor
kidney cancer	renal cell carcinoma
liver cancer	liver cancer
liver cancer	hepatocellular carcinoma
low grade glioma	low grade glioma
lung cancer	lung cancer
lung adenocarcinoma	lung cancer
lung cancer	lung squamous cell carcinoma
lung cancer	non-small cell lung cancer
lung cancer	all solid tumors
medulloblastoma	medulloblastoma
melanoma	melanoma
melanoma	uveal melanoma
meningioma	meningioma
multiple myeloma	multiple myeloma
myeloproliferative neoplasms	myeloproliferative neoplasms
neuroblastoma	neuroblastoma
ovarian cancer	ovarian cancer
ovarian cancer	ovarian granulosa cell tumors
pancreatic cancer	pancreatic cancer
prostate cancer	prostate cancer
rhabdomyosarcoma	rhabdomyosarcoma
skin cancer	cutaneous squamous cell carcinoma
skin cancer	skin basal cell carcinoma
t-all	t cell acute lymphoblastic leukemia
thymic carcinoma	thymic carcinoma
thyroid cancer	thyroid cancer
