# Hugo Symbol	Entrez Gene ID	# of occurrence within resources	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)
ABL1	25	6	1	1	1	1	1	1
ABL2	27	3	0	0	1	1	0	1
ACTB	60	1	0	0	0	1	0	0
ACTG1	71	1	0	1	0	0	0	0
ACVR1	90	2	1	0	0	0	0	1
ACVR1B	91	2	0	0	1	0	1	0
ACVR2A	92	1	0	0	0	0	0	1
PARP1	142	2	1	1	0	0	0	0
AKT1	207	6	1	1	1	1	1	1
AKT2	208	5	1	1	1	1	0	1
ALDH2	217	1	0	0	0	0	0	1
ALK	238	6	1	1	1	1	1	1
ALOX12B	242	2	1	1	0	0	0	0
APC	324	6	1	1	1	1	1	1
BIRC3	330	4	1	1	0	1	0	1
XIAP	331	1	1	0	0	0	0	0
FAS	355	4	0	1	1	1	0	1
AR	367	6	1	1	1	1	1	1
ARAF	369	4	1	1	1	1	0	0
RHOA	387	4	1	1	0	1	0	1
RHOH	399	2	0	0	0	1	0	1
ARNT	405	2	0	0	0	1	0	1
ZFHX3	463	2	1	0	0	0	0	1
ATF1	466	2	0	0	0	1	0	1
ATIC	471	2	0	0	0	1	0	1
ATM	472	6	1	1	1	1	1	1
ATP1A1	476	1	0	0	0	0	0	1
ATP2B3	492	1	0	0	0	0	0	1
ATP6V1B2	526	1	0	1	0	0	0	0
ATP6AP1	537	1	0	1	0	0	0	0
ATR	545	5	1	1	1	1	0	1
ATRX	546	6	1	1	1	1	1	1
AXL	558	4	1	1	1	1	0	0
B2M	567	5	1	1	0	1	1	1
BARD1	580	4	1	1	1	1	0	0
CCND1	595	5	1	1	1	1	0	1
BCL2	596	6	1	1	1	1	1	1
BCL2L1	598	2	1	0	1	0	0	0
BCL2L2	599	2	0	0	1	1	0	0
BCL3	602	2	0	0	0	1	0	1
BCL5	603	1	0	0	0	0	0	1
BCL6	604	4	1	1	0	1	0	1
BCL7A	605	2	0	0	0	1	0	1
NBEAP1	606	1	0	0	0	1	0	0
BCL9	607	2	0	0	0	1	0	1
TNFRSF17	608	2	0	0	0	1	0	1
BCR	613	4	0	1	1	1	0	1
PRDM1	639	6	1	1	1	1	1	1
BLM	641	5	1	1	1	1	0	1
BMPR1A	657	2	1	0	0	0	0	1
FOXL2	668	6	1	1	1	1	1	1
BRCA1	672	6	1	1	1	1	1	1
BRAF	673	6	1	1	1	1	1	1
BRCA2	675	6	1	1	1	1	1	1
BTG1	694	4	0	1	1	1	0	1
BTK	695	5	1	1	1	1	0	1
BUB1B	701	1	0	0	0	0	0	1
CACNA1D	776	1	0	0	0	0	0	1
CAD	790	1	0	0	0	1	0	0
CALR	811	4	1	1	1	0	0	1
CARS	833	2	0	0	0	1	0	1
CASP8	841	4	1	1	0	0	1	1
RUNX2	860	1	0	0	0	1	0	0
RUNX1	861	6	1	1	1	1	1	1
RUNX1T1	862	4	0	1	1	1	0	1
CBFA2T3	863	2	0	0	0	1	0	1
CBFB	865	5	1	1	1	1	0	1
CBL	867	6	1	1	1	1	1	1
CBLB	868	1	0	0	0	0	0	1
CCND2	894	5	1	1	1	1	0	1
CCND3	896	5	1	1	1	1	0	1
CCNE1	898	5	1	1	1	1	0	1
CD22	933	1	0	0	0	1	0	0
CD28	940	1	0	1	0	0	0	0
CD36	948	1	0	0	0	1	0	0
CD58	965	2	0	1	0	1	0	0
CD70	970	1	0	0	0	1	0	0
CD74	972	1	0	0	0	0	0	1
CD79A	973	5	1	1	1	1	0	1
CD79B	974	5	1	1	1	1	0	1
CDC42	998	1	1	0	0	0	0	0
CDH1	999	6	1	1	1	1	1	1
CDH11	1009	1	0	0	0	0	0	1
CDK4	1019	5	1	1	1	1	0	1
CDK6	1021	5	1	1	1	1	0	1
CDK8	1024	4	1	1	1	1	0	0
CDKN1A	1026	2	1	0	1	0	0	0
CDKN1B	1027	5	1	1	1	1	0	1
CDKN2A	1029	6	1	1	1	1	1	1
CDKN2B	1030	4	1	1	1	1	0	0
CDKN2C	1031	5	1	1	1	1	0	1
CDX2	1045	2	0	0	0	1	0	1
CEBPA	1050	6	1	1	1	1	1	1
CENPA	1058	1	1	0	0	0	0	0
CHD2	1106	2	0	0	1	1	0	0
CHD4	1108	2	0	0	1	0	0	1
AKR1C4	1109	1	0	0	0	1	0	0
CHEK1	1111	4	1	1	1	1	0	0
CHN1	1123	1	0	0	0	1	0	0
CKS1B	1163	1	0	0	0	1	0	0
CLTC	1213	2	0	0	0	1	0	1
COL1A1	1277	2	0	0	0	1	0	1
COL2A1	1280	1	0	0	0	0	0	1
KLF6	1316	1	0	0	0	0	0	1
COX6C	1345	1	0	0	0	0	0	1
CPS1	1373	1	0	0	0	1	0	0
CREB1	1385	1	0	0	0	0	0	1
CREBBP	1387	6	1	1	1	1	1	1
CRKL	1399	4	1	1	1	1	0	0
CSF1	1435	1	0	0	0	1	0	0
CSF1R	1436	5	1	1	1	1	1	0
CSF3R	1441	4	1	1	0	1	0	1
CTLA4	1493	1	1	0	0	0	0	0
CTNNA1	1495	2	0	0	1	1	0	0
CTNNB1	1499	6	1	1	1	1	1	1
CUX1	1523	3	0	1	0	1	0	1
CYLD	1540	5	1	1	1	0	1	1
DAXX	1616	6	1	1	1	1	1	1
DCTN1	1639	1	0	0	0	0	0	1
DDB2	1643	1	0	0	0	0	0	1
DDIT3	1649	2	0	0	0	1	0	1
DDX3X	1654	3	0	1	0	1	0	1
DDX5	1655	1	0	0	0	0	0	1
DDX6	1656	2	0	0	0	1	0	1
DDX10	1662	2	0	0	0	1	0	1
DNM2	1785	2	0	0	0	1	0	1
DNMT1	1786	2	1	0	0	0	1	0
DNMT3A	1788	6	1	1	1	1	1	1
DNMT3B	1789	1	1	0	0	0	0	0
ARID3A	1820	1	0	1	0	0	0	0
DTX1	1840	2	0	1	0	1	0	0
DUSP2	1844	1	0	0	0	1	0	0
DUSP4	1846	1	1	0	0	0	0	0
DUSP9	1852	1	0	0	0	1	0	0
E2F3	1871	1	1	0	0	0	0	0
EBF1	1879	2	0	0	0	1	0	1
EGFR	1956	6	1	1	1	1	1	1
EGR1	1958	1	0	1	0	0	0	0
EIF1AX	1964	1	1	0	0	0	0	0
EIF4A2	1974	3	1	0	0	1	0	1
EIF4E	1977	1	1	0	0	0	0	0
ELF3	1999	1	1	0	0	0	0	0
ELF4	2000	2	0	0	0	1	0	1
ELK4	2005	1	0	0	0	0	0	1
ELN	2006	2	0	0	0	1	0	1
EP300	2033	6	1	1	1	1	1	1
EPAS1	2034	2	1	0	0	0	0	1
EPHA3	2042	4	1	1	1	1	0	0
EPHA5	2044	4	1	1	1	1	0	0
EPHA7	2045	4	1	1	1	1	0	0
EPHB1	2047	4	1	1	1	1	0	0
EPOR	2057	1	0	0	0	1	0	0
EPS15	2060	2	0	0	0	1	0	1
ERBB2	2064	6	1	1	1	1	1	1
ERBB3	2065	5	1	1	1	1	0	1
ERBB4	2066	5	1	1	1	1	0	1
ERCC2	2068	2	1	0	0	0	0	1
ERCC3	2071	2	1	0	0	0	0	1
ERCC4	2072	2	1	0	0	0	0	1
ERCC5	2073	2	1	0	0	0	0	1
ERF	2077	1	1	0	0	0	0	0
ERG	2078	5	1	1	1	1	0	1
ESR1	2099	5	1	1	1	1	0	1
ETS1	2113	1	0	0	0	1	0	0
ETV1	2115	4	1	0	1	1	0	1
ETV4	2118	3	0	0	1	1	0	1
ETV5	2119	3	0	0	1	1	0	1
ETV6	2120	5	1	1	1	1	0	1
MECOM	2122	2	0	0	0	1	0	1
EWSR1	2130	2	0	0	0	1	0	1
EXT1	2131	1	0	0	0	0	0	1
EXT2	2132	1	0	0	0	0	0	1
EZH1	2145	1	1	0	0	0	0	0
EZH2	2146	6	1	1	1	1	1	1
FANCA	2175	5	1	1	1	1	0	1
FANCC	2176	5	1	1	1	1	0	1
FANCD2	2177	4	0	1	1	1	0	1
FANCE	2178	3	0	0	1	1	0	1
ACSL3	2181	1	0	0	0	0	0	1
FANCF	2188	3	0	0	1	1	0	1
FANCG	2189	3	0	0	1	1	0	1
FAT1	2195	4	1	1	1	0	0	1
FCGR2B	2213	2	0	0	0	1	0	1
FES	2242	1	0	0	0	0	0	1
FGF3	2248	4	1	1	1	1	0	0
FGF4	2249	4	1	1	1	1	0	0
FGF6	2251	2	0	0	1	1	0	0
FGF10	2255	2	0	0	1	1	0	0
FGF14	2259	2	0	0	1	1	0	0
FGFR1	2260	5	1	1	1	1	0	1
FGFR3	2261	6	1	1	1	1	1	1
FGFR2	2263	6	1	1	1	1	1	1
FGFR4	2264	5	1	1	1	1	0	1
FH	2271	3	1	0	1	0	0	1
FHIT	2272	2	0	0	0	1	0	1
FOXO1	2308	4	1	1	0	1	0	1
FOXO3	2309	2	0	0	0	1	0	1
FLI1	2313	2	0	0	0	1	0	1
FLT1	2321	4	1	1	1	1	0	0
FLT3	2322	6	1	1	1	1	1	1
FLT4	2324	5	1	1	1	1	0	1
MTOR	2475	5	1	1	1	1	0	1
FUS	2521	2	0	0	0	1	0	1
KDSR	2531	2	0	0	0	1	0	1
FYN	2534	2	1	1	0	0	0	0
GABRA6	2559	1	0	0	1	0	0	0
GATA1	2623	6	1	1	1	1	1	1
GATA2	2624	6	1	1	1	1	1	1
GATA3	2625	6	1	1	1	1	1	1
GATA4	2626	1	0	0	1	0	0	0
GATA6	2627	1	0	0	1	0	0	0
GPC3	2719	1	0	0	0	0	0	1
GLI1	2735	3	1	0	1	1	0	0
GNA11	2767	6	1	1	1	1	1	1
GNA12	2768	2	0	1	0	1	0	0
GNAQ	2776	6	1	1	1	1	1	1
GNAS	2778	6	1	1	1	1	1	1
GNB1	2782	1	0	1	0	0	0	0
GPS2	2874	1	1	0	0	0	0	0
GRIN2A	2903	5	1	1	1	1	0	1
GRM3	2913	1	0	0	1	0	0	0
GSK3B	2932	4	1	1	1	1	0	0
MSH6	2956	6	1	1	1	1	1	1
GTF2I	2969	1	0	1	0	0	0	0
HIST1H1C	3006	3	1	1	0	1	0	0
HIST1H1D	3007	2	0	1	0	1	0	0
HIST1H1E	3008	2	0	1	0	1	0	0
HIST1H1B	3009	1	0	1	0	0	0	0
HIST1H2BD	3017	2	1	1	0	0	0	0
H3F3A	3020	4	1	0	1	0	1	1
H3F3B	3021	2	1	0	0	0	0	1
HDAC1	3065	2	0	1	0	1	0	0
HGF	3082	4	1	1	1	1	0	0
NRG1	3084	1	0	0	0	0	0	1
HIF1A	3091	2	0	1	0	0	0	1
HIP1	3092	2	0	0	0	1	0	1
